,name,category,address,star,comment,naver_services,station,out,meter,lines,walking_time
237,목로관,"육류,고기요리",서울 마포구 어울마당로 126,4.3,분위기 좋은 홍대고깃집,,홍대입구역,9번,143.0,"2호선,공항철도,경의중앙선",2.0
238,모크,"카페,디저트",서울 마포구 와우산로17길 19-17 1층,4.59,정말 맛있는 핫하고 이쁜 블랙 무채색 카페,,상수역,1번,300.0,6호선,4.0
239,캘리포니아도넛클럽 비라티오 홍대점,베이커리,"서울 마포구 잔다리로 28 1층, 2층",4.52,,"네이버페이,네이버주문,배달,네이버톡톡,쿠폰",합정역,3번,477.0,"2호선,6호선",6.0
240,시골순대,"순대,순댓국",서울 마포구 월드컵북로1길 50 시골순대,4.18,,배달,합정역,2번,472.0,"2호선,6호선",6.0
241,카페 꼬모,"카페,디저트",서울 마포구 와우산로21길 31-12 1층,4.59,,,홍대입구역,9번,602.0,"2호선,공항철도,경의중앙선",8.0
242,나성타코,"멕시코,남미음식",서울 마포구 잔다리로2길 24 2층,4.73,,,상수역,1번,583.0,6호선,7.0
243,심야식당 하스,이자카야,서울 마포구 연희로1길 19,4.45,,,홍대입구역,3번,240.0,"2호선,공항철도,경의중앙선",3.0
244,홍대차칸곱창,"곱창,막창,양",서울 마포구 와우산로23길 35-8 1층 홍대차칸곱창,4.53,,"네이버페이,네이버주문",홍대입구역,9번,239.0,"2호선,공항철도,경의중앙선",3.0
245,버건디,와인,서울 마포구 독막로7길 47 3층,4.8,,,합정역,3번,430.0,"2호선,6호선",5.0
246,이자카야 연정,이자카야,서울 마포구 양화로23길 24 2층 일부,4.82,,,홍대입구역,3번,185.0,"2호선,공항철도,경의중앙선",2.0
247,슬슬,술집,서울 마포구 연희로1길 23,,,,홍대입구역,3번,269.0,"2호선,공항철도,경의중앙선",3.0
248,훈민정음 서울합정점,요리주점,서울 마포구 독막로7길 21,4.53,합정 훈민정음 퀄리티 좋은 안주,네이버예약,상수역,1번,484.0,6호선,6.0
249,혼고집,한식,서울 마포구 동교로30길 1 1층 혼고집,,,,홍대입구역,3번,294.0,"2호선,공항철도,경의중앙선",4.0
250,홍대 수제버거 풀리너마이트,햄버거,서울 마포구 홍익로 13-4,4.95,,"네이버페이,네이버예약,네이버주문,네이버톡톡,쿠폰",홍대입구역,9번,354.0,"2호선,공항철도,경의중앙선",4.0
251,태우마,"육류,고기요리",서울 마포구 와우산로21길 36-8 1층,,,네이버예약,홍대입구역,9번,479.0,"2호선,공항철도,경의중앙선",6.0
252,홍대IN파스타,"스파게티,파스타전문",서울 마포구 홍익로5안길 32 준빌라,4.43,홍대파스타 예쁘고 맛있는 테라스맛집,네이버예약,홍대입구역,9번,416.0,"2호선,공항철도,경의중앙선",5.0
253,카페코그.,"카페,디저트",서울 마포구 동교로 183-12 1층,,,,홍대입구역,1번,214.0,"2호선,공항철도,경의중앙선",3.0
254,파파초밥,"초밥,롤",서울 마포구 와우산로21길 28-8,4.55,가성비 좋은 홍대의 숨겨진 초밥 맛집,,홍대입구역,9번,589.0,"2호선,공항철도,경의중앙선",7.0
255,더 키친 아시아 인도,인도음식,서울 마포구 와우산로23길 35-6,4.82,,"네이버예약,배달",홍대입구역,9번,229.0,"2호선,공항철도,경의중앙선",3.0
256,올바른스시 홍대직영점,"초밥,롤",서울 마포구 동교로 199-1 1층 올바른스시,4.59,,"네이버페이,네이버주문,배달",홍대입구역,2번,158.0,"2호선,공항철도,경의중앙선",2.0
257,쑥짜이,태국음식,서울 마포구 월드컵북로2길 82 1층,4.73,연남동쌀국수 연남동팟타이가 맛있는 홍대태국음식점,,홍대입구역,3번,115.0,"2호선,공항철도,경의중앙선",1.0
